x_train_start,x_train_end,y_train_start,y_train_end,x_test_start,x_test_end,y_test_start,y_test_end,accuracy,F1_score
1.0,23.0,24.0,30.0,1.0,23.0,24.0,30.0,0.8548995339302636,0.8660872048403505
5.0,23.0,24.0,30.0,5.0,23.0,24.0,30.0,0.855402347753776,0.8666416965416377
10.0,23.0,24.0,30.0,10.0,23.0,24.0,30.0,0.855402347753776,0.8665703017649053
15.0,23.0,24.0,30.0,15.0,23.0,24.0,30.0,0.8562919414415285,0.86754718998984
20.0,23.0,24.0,30.0,20.0,23.0,24.0,30.0,0.852694888704094,0.863129144130384
13.0,23.0,24.0,30.0,13.0,23.0,24.0,30.0,0.8579937728441858,0.8690690583599308
18.0,23.0,24.0,30.0,18.0,23.0,24.0,30.0,0.8546674660117194,0.8656236030397854
11.0,23.0,24.0,30.0,11.0,23.0,24.0,30.0,0.8550542458759597,0.8661009379187137
12.0,23.0,24.0,30.0,12.0,23.0,24.0,30.0,0.8556537546655321,0.8667808952666524
14.0,23.0,24.0,30.0,14.0,23.0,24.0,30.0,0.8568334332514649,0.868013335948225
13.0,23.0,24.0,30.0,20.0,30.0,24.0,30.0,0.8904252644607322,0.8984223736106132
13.0,23.0,24.0,30.0,20.0,30.0,24.0,30.0,0.8904252644607322,0.8984223736106132
